,is_canceled,lead_time,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,adr,required_car_parking_spaces,Country,Region,Population,Area(sq.mi.),Pop.Density(persq.mi.),Coastline(coast/arearatio),Netmigration,Infantmortality(per1000births),GDP($percapita),Literacy(%),Phones(per1000),Arable(%),Crops(%),Other(%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
64,0.0,80.0,0.0,0.0,0.0,0.16666666666666666,1.0,3.5,2.0,0.3333333333333333,0.0,105.78500000000001,0.16666666666666666,Jamaica,LATINAMER.&CARIB,2758124,10991,250.9,9.3,-4.92,12.36,3900.0,87.9,124.0,16.07,10.16,73.77,2.0,20.82,6.52,0.049,0.337,0.615
65,1.0,123.875,0.0,0.0,0.0,0.25,1.125,2.375,2.125,0.25,0.0,139.25125,0.0,Jersey,WESTERNEUROPE,91084,116,785.2,60.34,2.76,5.24,24800.0,82.0,811.3,0.0,0.0,100.0,3.0,9.3,9.28,0.05,0.02,0.93
66,0.14285714285714285,82.0952380952381,0.0,0.0,0.0,0.5714285714285714,1.0952380952380953,1.9523809523809523,1.5238095238095237,0.3333333333333333,0.0,98.77619047619048,0.0,Jordan,NEAREAST,5906760,92300,64.0,0.03,6.59,17.35,4300.0,91.3,104.5,2.67,1.83,95.5,1.0,21.25,2.65,0.033,0.287,0.68
67,0.14213197969543148,55.09137055837564,0.015228426395939087,0.0,0.02030456852791878,0.18781725888324874,0.7208121827411168,2.197969543147208,1.736040609137056,0.17766497461928935,0.01015228426395939,121.24035532994922,0.030456852791878174,Japan,ASIA(EX.NEAREAST),127463611,377835,337.4,7.87,0.0,3.26,28200.0,99.0,461.2,12.19,0.96,86.85,3.0,9.37,9.16,0.017,0.258,0.725
68,0.2631578947368421,60.578947368421055,0.0,0.0,0.0,0.15789473684210525,1.1578947368421053,2.263157894736842,1.5789473684210527,0.21052631578947367,0.0,143.4921052631579,0.0,Kazakhstan,C.W.OFIND.STATES,15233244,2717300,5.6,0.0,-3.35,29.21,6300.0,98.4,164.1,7.98,0.05,91.97,4.0,16.0,9.42,0.067,0.386,0.547
69,0.3333333333333333,64.0,0.0,0.0,0.0,0.3333333333333333,1.0,2.8333333333333335,2.0,0.5,0.0,134.1966666666667,0.0,Kenya,SUB-SAHARANAFRICA,34707817,582650,59.6,0.09,-0.1,61.47,1000.0,85.1,8.1,8.08,0.98,90.94,1.5,39.72,14.02,0.163,0.188,0.651
70,1.0,30.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,99.0,0.0,Cambodia,ASIA(EX.NEAREAST),13881427,181040,76.7,0.24,0.0,71.48,1900.0,69.4,2.6,20.96,0.61,78.43,2.0,26.9,9.06,0.35,0.3,0.35
71,0.0,34.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,108.0,0.0,Kiribati,OCEANIA,105432,811,130.0,140.94,0.0,48.52,800.0,82.0,42.7,2.74,50.68,46.58,2.0,30.65,8.26,0.089,0.242,0.668
72,0.375,50.375,0.0,0.0,0.0,0.125,1.0,2.375,2.125,0.0,0.0,131.32875,0.125,Kuwait,NEAREAST,2418393,17820,135.7,2.8,14.18,9.95,19000.0,83.5,211.0,0.73,0.11,99.16,1.0,21.94,2.41,0.004,0.479,0.516
73,0.0,2.5,0.0,0.0,0.0,0.0,0.0,2.5,2.0,0.0,0.0,181.66500000000002,0.0,Laos,ASIA(EX.NEAREAST),6368481,236800,26.9,0.0,0.0,85.22,1700.0,66.4,14.1,3.8,0.35,95.85,2.0,35.49,11.55,0.455,0.287,0.258
