country,is_canceled,lead_time,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,adr,required_car_parking_spaces
Finland,0.15436241610738255,67.21252796420582,0.0044742729306487695,0.0022371364653243847,0.0044742729306487695,0.2505592841163311,1.1901565995525727,2.9507829977628637,1.854586129753915,0.17002237136465326,0.015659955257270694,104.03263982102908,0.0738255033557047
Fiji,1.0,322.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,135.33,0.0
France,0.185693710993759,82.32213154104657,0.007489198271723476,0.0061449831973115696,0.020931349015842534,0.21805088814210274,0.9726356216994719,2.5364378300528085,1.9482477196351415,0.11627460393662986,0.007393182909265482,109.61727604416706,0.055400864138262125
Faeroe Islands,0.8,286.4,0.0,0.0,0.0,0.2,3.6,8.4,3.0,0.0,0.0,155.2,0.0
Gabon,0.5,47.25,0.0,0.0,0.0,0.0,0.5,2.0,1.5,0.25,0.0,143.375,0.0
United Kingdom,0.20224255915574244,127.42196388820183,0.008821831972957375,0.009728749278588507,0.01459312391788276,0.28320554044026713,1.3436392118064144,3.4458735262593785,1.914667326242889,0.1033061258141644,0.007585126556187649,96.02205787781351,0.046500123670541675
Georgia,0.6818181818181818,97.68181818181819,0.0,0.0,0.0,0.2727272727272727,1.6818181818181819,3.590909090909091,1.9545454545454546,0.18181818181818182,0.0,169.01590909090908,0.0
Guernsey,1.0,31.333333333333332,0.0,0.0,0.0,0.0,1.3333333333333333,1.0,1.6666666666666667,0.0,0.0,100.26666666666667,0.0
Ghana,0.5,42.25,0.0,0.0,0.0,0.25,1.75,4.0,2.0,0.0,0.0,126.45,0.0
Gibraltar,0.6111111111111112,117.27777777777777,0.0,0.0,0.0,0.3888888888888889,0.8333333333333334,2.3333333333333335,2.0555555555555554,0.16666666666666666,0.05555555555555555,150.4022222222222,0.05555555555555555
Guadeloupe,1.0,103.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,140.0,0.0
Guinea-Bissau,0.1111111111111111,40.888888888888886,0.0,0.0,0.0,1.3333333333333333,2.2222222222222223,4.888888888888889,1.2222222222222223,0.0,0.0,83.16444444444444,0.0
Greece,0.2734375,69.0703125,0.03125,0.0,0.03125,0.234375,1.296875,2.796875,1.6875,0.0625,0.0078125,109.962734375,0.03125
Guatemala,0.0,5.25,0.0,0.0,0.0,0.75,0.0,1.75,2.0,0.25,0.0,75.0,0.0
Guyana,0.0,180.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,120.0,0.0
Hong Kong,0.896551724137931,88.96551724137932,0.0,0.0,0.0,0.06896551724137931,0.3448275862068966,1.793103448275862,1.9655172413793103,0.0,0.0,128.13275862068966,0.0
Honduras,1.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,79.0,0.0
Croatia,0.25,71.12,0.0,0.0,0.0,0.22,1.05,2.85,1.84,0.16,0.0,111.02420000000001,0.06
Hungary,0.3347826086956522,98.2304347826087,0.0,0.0,0.0,0.30434782608695654,0.9695652173913043,2.739130434782609,1.873913043478261,0.14782608695652175,0.008695652173913044,113.17865217391305,0.06956521739130435
Indonesia,0.6857142857142857,31.2,0.0,0.0,0.0,0.17142857142857143,0.8857142857142857,2.4,1.8285714285714285,0.14285714285714285,0.0,116.6257142857143,0.02857142857142857
Isle of Man,1.0,176.5,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.5,0.0,117.44999999999999,0.0
India,0.23026315789473684,48.89473684210526,0.0,0.0,0.0,0.3092105263157895,0.7631578947368421,2.348684210526316,1.894736842105263,0.29605263157894735,0.013157894736842105,113.60815789473683,0.046052631578947366
Ireland,0.24651851851851853,120.44651851851852,0.009185185185185185,0.1831111111111111,0.011259259259259259,0.261037037037037,1.4485925925925927,3.6968888888888887,1.9466666666666668,0.09333333333333334,0.0071111111111111115,98.19217185185185,0.024888888888888887
Iran,0.27710843373493976,42.42168674698795,0.0,0.0,0.0,0.37349397590361444,1.0843373493975903,2.8433734939759034,1.891566265060241,0.1686746987951807,0.0,127.98867469879518,0.024096385542168676
Iraq,0.0,19.214285714285715,0.0,0.0,0.0,0.5714285714285714,0.8571428571428571,2.5,1.5,0.14285714285714285,0.0,106.95714285714287,0.0
Iceland,0.07017543859649122,155.3859649122807,0.017543859649122806,0.0,0.017543859649122806,0.21052631578947367,0.43859649122807015,3.8947368421052633,1.8771929824561404,0.05263157894736842,0.0,111.5677192982456,0.03508771929824561
Israel,0.2526158445440957,88.94768310911809,0.004484304932735426,0.0,0.025411061285500747,0.2242152466367713,0.7817638266068759,1.7922272047832586,1.9192825112107623,0.09566517189835576,0.0014947683109118087,110.69581464872945,0.03139013452914798
Italy,0.3539564524694636,90.66489644184811,0.010621348911311737,0.0010621348911311736,0.01779075942644716,0.25570897503983003,0.9599044078597982,2.312002124269782,1.9607010090281465,0.1210833775889538,0.004248539564524694,113.94820764737122,0.033722782793414764
Jamaica,0.0,80.0,0.0,0.0,0.0,0.16666666666666666,1.0,3.5,2.0,0.3333333333333333,0.0,105.78500000000001,0.16666666666666666
Jersey,1.0,123.875,0.0,0.0,0.0,0.25,1.125,2.375,2.125,0.25,0.0,139.25125,0.0
Jordan,0.14285714285714285,82.0952380952381,0.0,0.0,0.0,0.5714285714285714,1.0952380952380953,1.9523809523809523,1.5238095238095237,0.3333333333333333,0.0,98.77619047619048,0.0
Japan,0.14213197969543148,55.09137055837564,0.015228426395939087,0.0,0.02030456852791878,0.18781725888324874,0.7208121827411168,2.197969543147208,1.736040609137056,0.17766497461928935,0.01015228426395939,121.24035532994922,0.030456852791878174
Kazakhstan,0.2631578947368421,60.578947368421055,0.0,0.0,0.0,0.15789473684210525,1.1578947368421053,2.263157894736842,1.5789473684210527,0.21052631578947367,0.0,143.4921052631579,0.0
Kenya,0.3333333333333333,64.0,0.0,0.0,0.0,0.3333333333333333,1.0,2.8333333333333335,2.0,0.5,0.0,134.1966666666667,0.0
Cambodia,1.0,30.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,99.0,0.0
Kiribati,0.0,34.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,108.0,0.0
St. Kitts and Nevis,0.0,251.5,0.0,0.0,0.0,0.5,0.5,1.5,1.5,0.0,0.0,92.2,0.0
South Korea,0.41353383458646614,56.609022556390975,0.007518796992481203,0.0,0.0,0.3007518796992481,0.8872180451127819,1.5714285714285714,1.8646616541353382,0.11278195488721804,0.007518796992481203,113.2193984962406,0.03759398496240601
Kuwait,0.375,50.375,0.0,0.0,0.0,0.125,1.0,2.375,2.125,0.0,0.0,131.32875,0.125
Laos,0.0,2.5,0.0,0.0,0.0,0.0,0.0,2.5,2.0,0.0,0.0,181.66500000000002,0.0
Lebanon,0.2903225806451613,47.16129032258065,0.03225806451612903,0.0,0.0,0.3870967741935484,0.7096774193548387,2.0,1.7741935483870968,0.0967741935483871,0.0,132.2874193548387,0.0
Libya,0.0,49.625,0.0,0.0,0.0,0.5,0.75,1.25,1.125,0.125,0.0,92.75,0.0
St. Lucia,0.0,268.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,80.75,0.0
Liechtenstein,0.3333333333333333,20.0,0.0,0.0,0.0,0.0,0.6666666666666666,2.3333333333333335,2.0,0.0,0.0,102.26666666666667,0.0
Sri Lanka,0.0,22.571428571428573,0.0,0.0,0.0,0.5714285714285714,1.0,3.7142857142857144,1.4285714285714286,0.0,0.0,87.75714285714285,0.0
Lithuania,0.08641975308641975,94.93827160493827,0.0,0.0,0.0,0.25925925925925924,1.2222222222222223,3.45679012345679,1.8641975308641976,0.08641975308641975,0.0,100.27345679012345,0.12345679012345678
Luxembourg,0.3797909407665505,97.70731707317073,0.013937282229965157,0.0,0.0627177700348432,0.1951219512195122,1.1254355400696865,2.602787456445993,1.9337979094076656,0.2229965156794425,0.003484320557491289,132.39337979094077,0.08013937282229965
Latvia,0.16363636363636364,93.2,0.0,0.0,0.0,0.21818181818181817,1.2,3.327272727272727,1.9090909090909092,0.12727272727272726,0.0,96.00254545454546,0.09090909090909091
Macau,0.9375,64.5,0.0,0.0,0.0,0.3125,1.375,1.875,1.6875,0.0,0.0,101.17375,0.0
Morocco,0.42084942084942084,52.034749034749034,0.007722007722007722,0.0,0.0,0.3166023166023166,1.135135135135135,2.8725868725868726,1.8416988416988418,0.3474903474903475,0.02702702702702703,134.39552123552124,0.08108108108108109
Monaco,0.25,36.25,0.0,0.0,0.0,0.0,0.5,2.25,2.0,0.0,0.0,85.74,0.0
Madagascar,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,44.0,0.0
